sample-id,Sample.ID,Nest,Chamber_Iden,sample.ID.on.tube,input_reads,filtered_reads,Control_Sample1,Samples,Sample_Type,Fig4_Sample,Depth,shannon,pielou_evenness,faith_pd,observed_otus,Chamber.Type.simple
B-E4,Banana E4,Banana,E4,B E4,8427,7504,control near,control near,control,soil,34,6.29517072,0.862988075,15.3308171,157,ants
B-F3,Banana F3,Banana,F3,B F3,8455,7345,control near,control near,control,soil,24,6.662896261,0.897206938,16.88185267,172,ants
B-H3,Banana H3,Banana,H3,B H3,7590,6765,control near,control near,control,soil,26,6.630141079,0.910058344,15.00225277,156,seeds
B-I5,Banana I5,Banana,I5,B I5,8839,7383,control near,control near,control,soil,32,6.386438897,0.884650203,15.28984834,149,brood
B-J5,Banana J5,Banana,J5,B J5,7207,6182,control near,control near,control,soil,20,6.513807541,0.912355303,14.28594372,141,brood
B-K5,Banana K5,Banana,K5,B K5,10058,8930,control near,control near,control,soil,12,6.125185956,0.851924258,16.56265995,146,brood/seeds
B-L6,Banana L6,Banana,L6,B L6,8759,7750,control near,control near,control,soil,14,6.703894202,0.893870928,19.05290529,181,brood
C-A3,Carrot A3,Carrot,A3,C A3,11504,9987,control near,control near,control,soil,40,6.84540166,0.902496441,16.66927577,192,ants
C-B3,Carrot B3,Carrot,B3,C B3,9424,7972,control near,control near,control,soil,30,6.791419105,0.916596136,16.85860912,170,ants
C-C4,Carrot C4,Carrot,C4,C C4,10343,8900,control near,control near,control,soil,38,6.550293174,0.900244802,14.72197601,155,seeds
C-D4,Carrot D4,Carrot,D4,C D4,12895,11258,control near,control near,control,soil,22,6.745722399,0.866907925,20.05631917,220,seeds
C-E3,Carrot E3,Carrot,E3,C E3,12867,11299,control near,control near,control,soil,34,6.926036246,0.896235447,17.72397544,212,empty
C-F4,Carrot F4,Carrot,F4,C F4,9002,7843,control near,control near,control,soil,36,6.479689993,0.892840528,14.04245972,153,brood/reproductive
C-G3,Carrot G3,Carrot,G3,C G3,6450,5692,control near,control near,control,soil,26,5.458893607,0.818127342,11.33941261,102,ants
C-H2,Carrot H2,Carrot,H2,C H2,8369,7133,control near,control near,control,soil,30,6.659902231,0.916485188,14.37566884,154,empty
C-I5,Carrot I5,Carrot,I5,C I5,12194,10531,control near,control near,control,soil,26,6.870012359,0.893776347,19.01818096,206,seeds
C-K3,Carrot K3,Carrot,K3,C K3,6701,5755,control near,control near,control,soil,6,6.679188279,0.906719539,18.88476246,165,seeds
DC-A2,DC A2,DC,A2,DC A2,7564,6315,control near,control near,control,soil,16,6.229577797,0.887105028,14.49216931,130,empty
DC-C3,DC C3,DC,C3,DC C3,12361,10474,control near,control near,control,soil,30,6.727322476,0.913253898,16.30400822,165,ants
DC-D3,DC D3,DC,D3,DC D3,9889,8727,control near,control near,control,soil,25,6.762785841,0.915906918,16.04029242,167,ants
DC-E2,DC E2,DC,E2,DC E2,7087,6204,control near,control near,control,soil,11,6.142378597,0.85668659,16.10611687,144,seeds
DC-H3,DC H3,DC,H3,DC H3,10613,9350,control near,control near,control,soil,30,7.058350659,0.917444937,18.99536479,207,ants
DC-J3,DC J3,DC,J3,DC J3,8102,7012,control near,control near,control,soil,19,7.004378048,0.930025665,16.79397045,185,ants
DC-K3,DC K3,DC,K3,DC K3,8303,7317,control near,control near,control,soil,18,6.934326659,0.904634413,19.74438464,203,ants
DC-N3,DC N3,DC,N3,DC N3,7796,6679,control near,control near,control,soil,53,6.616253484,0.905866936,16.41297745,158,ants
DC-O5,DC O5,DC,O5,DC O5,7529,6154,control near,control near,control,soil,39,6.276157729,0.908680635,13.30597998,120,brood/reproductive
DC-P3,DC P3,DC,P3,DC P3,8146,6691,control near,control near,control,soil,49,6.483801985,0.909460596,14.08913862,140,brood
DC-Q5,DC Q5,DC,Q5,DC Q5,8605,7218,control near,control near,control,soil,49,6.769424609,0.911551747,18.84671256,172,brood/reproductive
DC-R5,DC R5,DC,R5,DC R5,6744,5834,control near,control near,control,soil,44,6.484705232,0.90192816,15.49968555,146,brood/reproductive
E-A3,Eggplant A3,Eggplant,A3,E A3,22130,19507,control near,control near,control,soil,30,7.782265259,0.918181928,25.46210819,356,ants
E-B3,Eggplant B3,Eggplant,B3,E B3,8687,7107,control near,control near,control,soil,29,6.367271676,0.92348658,13.33211866,119,ants
E-C3,Eggplant C3,Eggplant,C3,E C3,8531,7434,control near,control near,control,soil,25,6.70493271,0.900844231,19.84616926,174,ants
E-D4,Eggplant D4,Eggplant,D4,E D4,7126,6256,control near,control near,control,soil,28,6.537188309,0.92374716,15.62777899,135,brood
E-E1,Eggplant E1,Eggplant,E1,E E1,13647,11509,control near,control near,control,soil,40,7.304341913,0.926636138,19.098376,236,empty
E-F3,Eggplant F3,Eggplant,F3,E F3,9647,7772,control near,control near,control,soil,46,6.51906182,0.910499856,13.59317399,143,ants
E-G3,Eggplant G3,Eggplant,G3,E G3,10873,9452,control near,control near,control,soil,50,7.000114424,0.909053857,18.96988575,208,ants
E-H3,Eggplant H3,Eggplant,H3,E H3,7823,6783,control near,control near,control,soil,23,6.634789032,0.931991003,14.7813104,139,ants
E-I4,Eggplant I4,Eggplant,I4,E I4,8368,7172,control near,control near,control,soil,12,6.610799268,0.914506166,18.09201208,150,seeds
E-J3,Eggplant J3,Eggplant,J3,E J3,10021,8886,control near,control near,control,soil,27,6.834207195,0.899248102,18.90239658,194,ants
E-K3,Eggplant K3,Eggplant,K3,E K3,6735,5887,control near,control near,control,soil,13,6.621755357,0.907758688,16.42845498,157,ants
A-C1,Apple C1,Apple,C1,A C1,31452,29306,sample,ants,ants,ants,11.5,0.569388443,0.139301191,4.832096917,17,ants
A-E1,Apple E1,Apple,E1,A E1,44319,41529,sample,ants,ants,ants,27,0.648788673,0.162197168,4.192234998,16,ants
A-G1,Apple G1,Apple,G1,A G1,50885,46451,sample,ants,ants,ants,12,0.296695377,0.069844736,4.540016629,19,ants
A-H4,Apple H4,Apple,H4,A H4,53823,49872,sample,ants,ants,ants,13,0.561734157,0.137428566,3.990325572,17,seeds
B-B1,Banana B1,Banana,B1,B B1,40194,37653,sample,ants,ants,ants,19,0.20722563,0.044086435,6.212582233,26,ants
B-C1,Banana C1,Banana,C1,B C1,32638,30060,sample,ants,ants,ants,27,0.545265859,0.139565172,4.765136514,15,ants
B-D1,Banana D1,Banana,D1,B D1,37296,34706,sample,ants,ants,ants,35,1.042293402,0.21920464,4.95307785,27,brood/reproductive
B-E2,Banana E2,Banana,E2,B E2,32961,30738,sample,ants,ants,ants,34,0.320322107,0.071830254,5.801328283,22,ants
B-F1,Banana F1,Banana,F1,B F1,135125,123424,sample,ants,ants,ants,24,0.455747551,0.082986115,7.275186697,45,ants
B-H4,Banana H4,Banana,H4,B H4,17365,15763,sample,ants,ants,ants,26,2.687369556,0.444605283,9.737013128,66,seeds
