id,Nest,Chamber-ID,Chamber_Iden,sample ID on tube,input_reads,filtered_reads,Control_Sample,Samples,Sample_Type,Sample_Type2,Nest_Sample,Nest_Control,Depth_categorical,depth_nest,depth_categorical,depth_continous,sample_depth,chamberid_depth,samples_good,shannon,pielou_evenness,faith_pd,observed_otus,simpson,chao1,,nest
B-A1,Banana,A,A1,B A1,9571,8466,sample,soil,soil,soil,Banana_soil,Banana_sample,low,Banana_60,60,1,soil60,A_60,soil,6.631036613,0.872514824,20.45765449,194,0.979358322,197,,60
B-A2,Banana,A,A2,B A2,9712,8333,control,control near,control,soil,Banana_control,Banana_control,low,Banana_60,60,1,control near60,A_60,control,6.490549856,0.894336915,14.7757198,153,0.981783699,153.75,,60
B-B1,Banana,B,B1,B B1,40194,37653,sample,ants,ants,ants,Banana_ants,Banana_sample,high,Banana_19,19,0.316666667,ants19,B_19,ants,0.20722563,0.044086435,6.212582233,26,0.035588747,30.5,,19
B-B3,Banana,B,B3,B B3,17265,15297,control,control near,control,soil,Banana_control,Banana_control,high,Banana_19,19,0.316666667,control near19,B_19,control,7.325466523,0.902846846,21.66538325,277,0.989091457,303.7142857,,19
B-B4,Banana,B,B4,B B4,8561,7659,control,control far,control,soil,Banana_control,Banana_control,high,Banana_19,19,0.316666667,control far19,B_19,control,6.799203154,0.910493077,18.63714318,177,0.986877693,178.0714286,,19
B-C1,Banana,C,C1,B C1,32638,30060,sample,ants,ants,ants,Banana_ants,Banana_sample,high,Banana_27,27,0.45,ants27,C_27,ants,0.545265859,0.139565172,4.765136514,15,0.161125458,15.25,,27
B-C2,Banana,C,C2,B C2,7358,6482,sample,soil,soil,soil,Banana_soil,Banana_sample,high,Banana_27,27,0.45,soil27,C_27,soil,5.933709731,0.865226914,11.86706513,116,0.968402261,116.75,,27
B-C3,Banana,C,C3,B C3,9246,7557,control,control near,control,soil,Banana_control,Banana_control,high,Banana_27,27,0.45,control near27,C_27,control,6.132807673,0.8818859,12.79321831,124,0.972311069,124,,27
B-C4,Banana,C,C4,B C4,6389,5623,control,control far,control,soil,Banana_control,Banana_control,high,Banana_27,27,0.45,control far27,C_27,control,6.273584503,0.890578295,14.5934697,132,0.978019582,132.3,,27
B-D1,Banana,D,D1,B D1,37296,34706,sample,ants,ants,ants,Banana_ants,Banana_sample,medium,Banana_35,35,0.583333333,ants35,D_35,ants,1.042293402,0.21920464,4.95307785,27,0.273631688,29.5,,35
B-D2,Banana,D,D2,B D2,11800,10628,sample,brood,brood,ants,Banana_brood,Banana_sample,medium,Banana_35,35,0.583333333,brood35,D_35,brood,5.2321409,0.748658887,14.3172689,127,0.941442441,129.8,,35
