id,Nest,Chamber-ID,Chamber_Iden,sample ID on tube,input_reads,filtered_reads,Control_Sample,Samples,Sample_Type,Sample_Type2,Nest_Sample,Nest_Control,Depth_categorical,depth_nest,depth_categorical,depth_continous,sample_depth,chamberid_depth,samples_good,shannon,pielou_evenness,faith_pd,observed_otus,simpson,chao1,,nest
E-H3,Eggplant,H,H3,E H3,7823,6783,control,control near,control,soil,Eggplant_control,Eggplant_control,medium,Eggplant_23,23,0.46,control near23,H_23,control,6.634789032,0.931991003,14.7813104,139,0.987008939,139,,23
E-I1,Eggplant,I,I1,E I1,20887,18410,sample,seeds,seeds,seeds,Eggplant_seeds,Eggplant_sample,high,Eggplant_12,12,0.24,seeds12,I_12,seeds,1.86158678,0.391510163,6.105330566,27,0.642167059,32,,12
E-I2,Eggplant,I,I2,E I2,35442,32361,sample,ants,ants,ants,Eggplant_ants,Eggplant_sample,high,Eggplant_12,12,0.24,ants12,I_12,ants,0.733934644,0.316088446,3.01319322,5,0.313825351,5,,12
E-I3,Eggplant,I,I3,E I3,31049,27582,sample,soil,soil,soil,Eggplant_soil,Eggplant_sample,high,Eggplant_12,12,0.24,soil12,I_12,soil,0.689306679,0.344653339,2.914273622,4,0.293476265,4,,12
E-I3-1,Eggplant,I,I3,E I3,16068,13955,sample,ants,ants,ants,Eggplant_ants,Eggplant_sample,high,Eggplant_12,12,0.24,ants12,I_12,ants,7.330077039,0.911823723,23.85153561,263,0.990956556,273,,12
E-I4,Eggplant,I,I4,E I4,8368,7172,control,control near,control,soil,Eggplant_control,Eggplant_control,high,Eggplant_12,12,0.24,control near12,I_12,control,6.610799268,0.914506166,18.09201208,150,0.986212143,150.1,,12
E-I5,Eggplant,I,I5,E I5,6749,5742,control,control far,control,soil,Eggplant_control,Eggplant_control,medium,Eggplant_27,27,0.54,control far27,I_27,control,6.586952784,0.904130285,17.90194481,156,0.985288226,156,,27
E-J2,Eggplant,J,J2,E J2,8185,7225,sample,soil,soil,soil,Eggplant_soil,Eggplant_sample,medium,Eggplant_27,27,0.54,soil27,J_27,soil,6.642906363,0.933131247,14.89161611,139,0.987275862,139,,27
E-J3,Eggplant,J,J3,E J3,10021,8886,control,control near,control,soil,Eggplant_control,Eggplant_control,medium,Eggplant_27,27,0.54,control near27,J_27,control,6.834207195,0.899248102,18.90239658,194,0.986485789,194.7894737,,27
E-J4,Eggplant,J,J4,E J4,6912,5886,control,control far,control,soil,Eggplant_control,Eggplant_control,medium,Eggplant_27,27,0.54,control far27,J_27,control,6.01404831,0.890325458,12.86713885,108,0.97608909,108,,27
E-K1,Eggplant,K,K1,E K1,34031,30504,sample,ants,ants,ants,Eggplant_ants,Eggplant_sample,high,Eggplant_13,13,0.26,ants13,K_13,ants,0.036580792,0.036580792,2.474367543,2,0.007709136,2,,13
E-K2,Eggplant,K,K2,E K2,8204,7133,sample,soil,soil,soil,Eggplant_soil,Eggplant_sample,high,Eggplant_13,13,0.26,soil13,K_13,soil,6.538282517,0.89519151,17.27482988,158,0.983433517,159.9090909,,13
E-K3,Eggplant,K,K3,E K3,6735,5887,control,control near,control,soil,Eggplant_control,Eggplant_control,high,Eggplant_13,13,0.26,control near13,K_13,control,6.621755357,0.907758688,16.42845498,157,0.985537426,157,,13
E-L1,Eggplant,L,L1,E L1,10405,8961,sample,brood,brood,ants,Eggplant_brood,Eggplant_sample,high,Eggplant_15,15,0.3,brood15,L_15,brood,6.336428742,0.899499465,12.04934216,132,0.982199285,133.2,,15
E-L2,Eggplant,L,L2,E L2,19865,18009,sample,ants,ants,ants,Eggplant_ants,Eggplant_sample,high,Eggplant_15,15,0.3,ants15,L_15,ants,0.293470511,0.12639087,3.005236442,5,0.092716046,5,,15
E-L3,Eggplant,L,L3,E L3,13329,11842,sample,soil,soil,soil,Eggplant_soil,Eggplant_sample,high,Eggplant_15,15,0.3,soil15,L_15,soil,7.047896702,0.905741022,17.24332282,220,0.988244088,226.5,,15
E-M1,Eggplant,M,M1,E M1,37211,34157,sample,ants,ants,ants,Eggplant_ants,Eggplant_sample,high,Eggplant_0,0,0,ants0,M_0,ants,1.111045572,0.195867818,7.561491026,51,0.282990642,63,,0
E-M2-1,Eggplant,M,M2,E M2,6847,5988,control,entrance soil,entrance soil,soil,Eggplant_entrance soil,Eggplant_control,high,Eggplant_0,0,0,entrance soil0,M_0,soil,6.623969196,0.908062177,19.3405466,157,0.986349653,157,,0
E-M3,Eggplant,M,M3,E M3,7453,6668,control,soil control near mound,control,soil,Eggplant_control,Eggplant_control,high,Eggplant_0,0,0,soil control near mound0,M_0,control,5.655796775,0.807970968,15.9624183,128,0.948314291,129.25,,0
E-M4,Eggplant,M,M4,E M4,8763,7620,control,soil contol off mount,control,soil,Eggplant_control,Eggplant_control,high,Eggplant_0,0,0,soil contol off mount0,M_0,control,6.761703323,0.900624437,21.56032873,182,0.986045755,189.8571429,,0
